State,Date,Value
Global,2/18/2020,1
Global,2/24/2020,0
Global,03/02/2020,-6
Global,03/09/2020,-29
Global,3/16/2020,-89
Global,3/23/2020,-100
Global,3/30/2020,-100
Global,04/06/2020,-100
Global,4/13/2020,-100
Global,4/20/2020,-100
Global,4/27/2020,-100
Global,05/04/2020,-98
Global,05/11/2020,-95
Global,5/18/2020,-90
Global,5/25/2020,-85
Global,06/01/2020,-79
Global,06/08/2020,-73
Global,6/15/2020,-63
Global,6/22/2020,-63
Global,6/29/2020,-62
Global,07/06/2020,-59
Global,7/13/2020,-58
Global,7/20/2020,-56
Global,7/27/2020,-53
Global,08/03/2020,-50
Global,08/10/2020,-47
Global,8/17/2020,-42
Global,8/24/2020,-39
Global,8/31/2020,-28
Global,09/07/2020,-38
Global,9/14/2020,-38
Global,9/21/2020,-38
Global,9/28/2020,-37
Global,10/05/2020,-35
Global,10/12/2020,-38
Global,10/19/2020,-39
Global,10/26/2020,-41
Global,11/02/2020,-46
Global,11/09/2020,-48
United States,2/18/2020,2
United States,2/24/2020,1
United States,03/02/2020,-5
United States,03/09/2020,-29
United States,3/16/2020,-90
United States,3/23/2020,-100
United States,3/30/2020,-100
United States,04/06/2020,-100
United States,4/13/2020,-100
United States,4/20/2020,-100
United States,4/27/2020,-100
United States,05/04/2020,-98
United States,05/11/2020,-95
United States,5/18/2020,-90
United States,5/25/2020,-84
United States,06/01/2020,-79
United States,06/08/2020,-71
United States,6/15/2020,-60
United States,6/22/2020,-62
United States,6/29/2020,-62
United States,07/06/2020,-62
United States,7/13/2020,-62
United States,7/20/2020,-61
United States,7/27/2020,-58
United States,08/03/2020,-56
United States,08/10/2020,-54
United States,8/17/2020,-50
United States,8/24/2020,-48
United States,8/31/2020,-35
United States,09/07/2020,-44
United States,9/14/2020,-44
United States,9/21/2020,-42
United States,9/28/2020,-41
United States,10/05/2020,-39
United States,10/12/2020,-41
United States,10/19/2020,-42
United States,10/26/2020,-46
United States,11/02/2020,-48
United States,11/09/2020,-47
California,2/18/2020,2
California,2/24/2020,4
California,03/02/2020,-6
California,03/09/2020,-36
California,3/16/2020,-95
California,3/23/2020,-100
California,3/30/2020,-100
California,04/06/2020,-100
California,4/13/2020,-100
California,4/20/2020,-100
California,4/27/2020,-100
California,05/04/2020,-100
California,05/11/2020,-100
California,5/18/2020,-98
California,5/25/2020,-90
California,06/01/2020,-83
California,06/08/2020,-75
California,6/15/2020,-63
California,6/22/2020,-64
California,6/29/2020,-68
California,07/06/2020,-70
California,7/13/2020,-73
California,7/20/2020,-70
California,7/27/2020,-66
California,08/03/2020,-63
California,08/10/2020,-62
California,8/17/2020,-62
California,8/24/2020,-57
California,8/31/2020,-47
California,09/07/2020,-50
California,9/14/2020,-48
California,9/21/2020,-45
California,9/28/2020,-44
California,10/05/2020,-42
California,10/12/2020,-40
California,10/19/2020,-43
California,10/26/2020,-41
California,11/02/2020,-50
California,11/09/2020,-45
Florida,2/18/2020,-1
Florida,2/24/2020,2
Florida,03/02/2020,-7
Florida,03/09/2020,-25
Florida,3/16/2020,-85
Florida,3/23/2020,-100
Florida,3/30/2020,-100
Florida,04/06/2020,-100
Florida,4/13/2020,-100
Florida,4/20/2020,-100
Florida,4/27/2020,-100
Florida,05/04/2020,-91
Florida,05/11/2020,-83
Florida,5/18/2020,-73
Florida,5/25/2020,-62
Florida,06/01/2020,-58
Florida,06/08/2020,-51
Florida,6/15/2020,-41
Florida,6/22/2020,-51
Florida,6/29/2020,-57
Florida,07/06/2020,-58
Florida,7/13/2020,-60
Florida,7/20/2020,-59
Florida,7/27/2020,-60
Florida,08/03/2020,-54
Florida,08/10/2020,-50
Florida,8/17/2020,-47
Florida,8/24/2020,-32
Florida,8/31/2020,-8
Florida,09/07/2020,-29
Florida,9/14/2020,-35
Florida,9/21/2020,-32
Florida,9/28/2020,-32
Florida,10/05/2020,-27
Florida,10/12/2020,-28
Florida,10/19/2020,-30
Florida,10/26/2020,-29
Florida,11/02/2020,-40
Florida,11/09/2020,-34
Illinois,2/18/2020,2
Illinois,2/24/2020,-7
Illinois,03/02/2020,-5
Illinois,03/09/2020,-31
Illinois,3/16/2020,-94
Illinois,3/23/2020,-100
Illinois,3/30/2020,-100
Illinois,04/06/2020,-100
Illinois,4/13/2020,-100
Illinois,4/20/2020,-100
Illinois,4/27/2020,-100
Illinois,05/04/2020,-100
Illinois,05/11/2020,-100
Illinois,5/18/2020,-100
Illinois,5/25/2020,-97
Illinois,06/01/2020,-88
Illinois,06/08/2020,-82
Illinois,6/15/2020,-72
Illinois,6/22/2020,-70
Illinois,6/29/2020,-62
Illinois,07/06/2020,-64
Illinois,7/13/2020,-64
Illinois,7/20/2020,-63
Illinois,7/27/2020,-61
Illinois,08/03/2020,-59
Illinois,08/10/2020,-59
Illinois,8/17/2020,-54
Illinois,8/24/2020,-55
Illinois,8/31/2020,-45
Illinois,09/07/2020,-56
Illinois,9/14/2020,-52
Illinois,9/21/2020,-49
Illinois,9/28/2020,-55
Illinois,10/05/2020,-49
Illinois,10/12/2020,-57
Illinois,10/19/2020,-60
Illinois,10/26/2020,-70
Illinois,11/02/2020,-70
Illinois,11/09/2020,-80
Massachusetts,2/18/2020,3
Massachusetts,2/24/2020,5
Massachusetts,03/02/2020,1
Massachusetts,03/09/2020,-35
Massachusetts,3/16/2020,-97
Massachusetts,3/23/2020,-100
Massachusetts,3/30/2020,-100
Massachusetts,04/06/2020,-100
Massachusetts,4/13/2020,-100
Massachusetts,4/20/2020,-100
Massachusetts,4/27/2020,-100
Massachusetts,05/04/2020,-100
Massachusetts,05/11/2020,-100
Massachusetts,5/18/2020,-100
Massachusetts,5/25/2020,-100
Massachusetts,06/01/2020,-99
Massachusetts,06/08/2020,-83
Massachusetts,6/15/2020,-504
Massachusetts,6/22/2020,-64
Massachusetts,6/29/2020,-60
Massachusetts,07/06/2020,-56
Massachusetts,7/13/2020,-56
Massachusetts,7/20/2020,-54
Massachusetts,7/27/2020,-52
Massachusetts,08/03/2020,-52
Massachusetts,08/10/2020,-50
Massachusetts,8/17/2020,-45
Massachusetts,8/24/2020,-43
Massachusetts,8/31/2020,-32
Massachusetts,09/07/2020,-36
Massachusetts,9/14/2020,-43
Massachusetts,9/21/2020,-42
Massachusetts,9/28/2020,-40
Massachusetts,10/05/2020,-42
Massachusetts,10/12/2020,-48
Massachusetts,10/19/2020,-44
Massachusetts,10/26/2020,-59
Massachusetts,11/02/2020,-54
Massachusetts,11/09/2020,-53
New Jersey,2/18/2020,14
New Jersey,2/24/2020,-1
New Jersey,03/02/2020,-5
New Jersey,03/09/2020,-25
New Jersey,3/16/2020,-96
New Jersey,3/23/2020,-100
New Jersey,3/30/2020,-100
New Jersey,04/06/2020,-100
New Jersey,4/13/2020,-100
New Jersey,4/20/2020,-100
New Jersey,4/27/2020,-100
New Jersey,05/04/2020,-100
New Jersey,05/11/2020,-100
New Jersey,5/18/2020,-99
New Jersey,5/25/2020,-99
New Jersey,06/01/2020,-99
New Jersey,06/08/2020,-99
New Jersey,6/15/2020,-56
New Jersey,6/22/2020,-55
New Jersey,6/29/2020,-53
New Jersey,07/06/2020,-54
New Jersey,7/13/2020,-42
New Jersey,7/20/2020,-50
New Jersey,7/27/2020,-43
New Jersey,08/03/2020,-46
New Jersey,08/10/2020,-43
New Jersey,8/17/2020,-31
New Jersey,8/24/2020,-33
New Jersey,8/31/2020,-4
New Jersey,09/07/2020,-3
New Jersey,9/14/2020,-13
New Jersey,9/21/2020,-11
New Jersey,9/28/2020,-11
New Jersey,10/05/2020,-8
New Jersey,10/12/2020,-20
New Jersey,10/19/2020,-17
New Jersey,10/26/2020,-34
New Jersey,11/02/2020,-19
New Jersey,11/09/2020,-31
New York,2/18/2020,4
New York,2/24/2020,0
New York,03/02/2020,-9
New York,03/09/2020,-37
New York,3/16/2020,-92
New York,3/23/2020,-100
New York,3/30/2020,-100
New York,04/06/2020,-100
New York,4/13/2020,-100
New York,4/20/2020,-100
New York,4/27/2020,-100
New York,05/04/2020,-100
New York,05/11/2020,-100
New York,5/18/2020,-99
New York,5/25/2020,-99
New York,06/01/2020,-99
New York,06/08/2020,-95
New York,6/15/2020,-90
New York,6/22/2020,-85
New York,6/29/2020,-80
New York,07/06/2020,-81
New York,7/13/2020,-76
New York,7/20/2020,-77
New York,7/27/2020,-75
New York,08/03/2020,-74
New York,08/10/2020,-71
New York,8/17/2020,-64
New York,8/24/2020,-65
New York,8/31/2020,-60
New York,09/07/2020,-64
New York,9/14/2020,-65
New York,9/21/2020,-62
New York,9/28/2020,-61
New York,10/05/2020,-61
New York,10/12/2020,-63
New York,10/19/2020,-61
New York,10/26/2020,-70
New York,11/02/2020,-66
New York,11/09/2020,-67
Pennsylvania,2/18/2020,11
Pennsylvania,2/24/2020,3
Pennsylvania,03/02/2020,-2
Pennsylvania,03/09/2020,-33
Pennsylvania,3/16/2020,-95
Pennsylvania,3/23/2020,-100
Pennsylvania,3/30/2020,-100
Pennsylvania,04/06/2020,-100
Pennsylvania,4/13/2020,-100
Pennsylvania,4/20/2020,-100
Pennsylvania,4/27/2020,-100
Pennsylvania,05/04/2020,-100
Pennsylvania,05/11/2020,-100
Pennsylvania,5/18/2020,-100
Pennsylvania,5/25/2020,-100
Pennsylvania,06/01/2020,-94
Pennsylvania,06/08/2020,-82
Pennsylvania,6/15/2020,-69
Pennsylvania,6/22/2020,-64
Pennsylvania,6/29/2020,-62
Pennsylvania,07/06/2020,-68
Pennsylvania,7/13/2020,-63
Pennsylvania,7/20/2020,-64
